Producto,Unidad,Precio Productores,Existencia Inicial,Categoría,Productor,Ubicación,Precio Ciudad Silvestre,Margen
Pepino,Pieza,$12.50,50,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$18.00,0.7
Piña,Pieza,$25.00,50,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$36.00,0.7
Tomate Cherry,Tazón 250gr,$30.00,40,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$43.00,0.7
Tomate Verde,Kilo (min 1/2k) ,$20.00,20,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$29.00,0.7
Tuna,Kilo (min 1/2k) ,$20.00,20,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$29.00,0.7
BlueBerry,Tazón 200gr,$63.04,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$90.00,0.7
Capulín,Tazón 500gr,$21.21,60,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$30.00,0.7
Ciruela Roja,Tazón 500gr,$23.71,30,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$34.00,0.7
Frambuesa,Tazón 200gr,$63.04,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$90.00,0.7
Fresa,Tazón 500gr,$23.71,60,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$34.00,0.7
Guanabana (650 gr),Pieza,$33.75,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$48.00,0.7
Jengibre,Kilo (min 1/4k) ,$45.00,10,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$64.00,0.7
Lichi,Tazón 500gr,$18.71,60,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$27.00,0.7
Limón Amarillo,Kilo (min 1/2k) ,$90.00,20,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$129.00,0.7
Limón Verde sin semilla,Kilo (min 1/2k) ,$25.00,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$36.00,0.7
Mamey (400 gr),Pieza,$24.00,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$34.00,0.7
Mango Manila,Kilo (min 1/2k) ,$22.00,60,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$31.00,0.7
Manzana,Kilo (min 1/2k) ,$27.00,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$39.00,0.7
Maracuyá,Kilo (min 1/2k) ,$40.00,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$57.00,0.7
Melón,Pieza,$22.00,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$31.00,0.7
Papaya (800 gr),Pieza,$20.00,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$29.00,0.7
Plátano Tabasco,Kilo (min 1/2k) ,$18.00,60,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$26.00,0.7
Uva Verde Sonorita,Tazón 500gr,$33.71,60,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$48.00,0.7
Zarzamora,Tazón 200gr,$63.04,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$90.00,0.7
Almendra,Tazón 250gr,$66.50,20,Granos y Semillas,AGROELITE (FB: @AgroeliteMexico),Morelos,$95.00,0.7
Arándano (seco),Tazón 250gr,$34.00,20,Granos y Semillas,AGROELITE (FB: @AgroeliteMexico),Morelos,$49.00,0.7
Nuez,Tazón 250gr,$84.00,20,Granos y Semillas,AGROELITE (FB: @AgroeliteMexico),Morelos,$120.00,0.7
Champignon Cremini,Domo 500gr,$52.77,30,Hongos,AGROELITE (FB: @AgroeliteMexico),Morelos,$75.00,0.7
Hongo Portobello,Domo 500gr,$60.27,30,Hongos,AGROELITE (FB: @AgroeliteMexico),Morelos,$86.00,0.7
Huitlacoche,Tazón 500gr,$28.71,40,Hongos,AGROELITE (FB: @AgroeliteMexico),Morelos,$41.00,0.7
Seta blanca,Domo 500gr,$23.27,30,Hongos,AGROELITE (FB: @AgroeliteMexico),Morelos,$33.00,0.7
Crema (500ml),Pieza,$86.25,8,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$123.00,0.7
Queso Asadero (450gr),Pieza,$103.50,15,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$148.00,0.7
Requesón (500 ml),Pieza,$51.75,8,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$74.00,0.7
Yogurt,1 Litro,$40.25,25,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$58.00,0.7
Queso Tipo Oaxaca (500gr),Pieza,$80.00,8,Lácteos,Rancho 4 Encinos ( @ranchocuatroencinos),"Zacatlán, Puebla",$114.00,0.7
Queso de Montaña Joven (250 gr),Pieza,$75.00,5,Lácteos,Rancho 4 Encinos ( @ranchocuatroencinos),"Zacatlán, Puebla",$107.00,0.7
Queso Mini Camembert,Pieza,$60.00,10,Lácteos,Rancho 4 Encinos ( @ranchocuatroencinos),"Zacatlán, Puebla",$86.00,0.7
Queso Ricotta （500 gr）,Pieza,$160.00,4,Lácteos,Rancho 4 Encinos ( @ranchocuatroencinos),"Zacatlán, Puebla",$229.00,0.7
Queso Tipo Crottin,Pieza,$60.00,8,Lácteos,Rancho 4 Encinos ( @ranchocuatroencinos),"Zacatlán, Puebla",$86.00,0.7
Queso Tipo Manchego Fresco (250 gr),Pieza,$45.00,11,Lácteos,Rancho 4 Encinos ( @ranchocuatroencinos),"Zacatlán, Puebla",$64.00,0.7
Yougurt Espeso (1 Litro) ,1 Litro,$105.00,6,Lácteos,Rancho 4 Encinos ( @ranchocuatroencinos),"Zacatlán, Puebla",$150.00,0.7
Queso Cabra Cenizo (200 gr),Pieza,$45.00,20,Lácteos,QUESOS CUENCA (@quesoscuenca),"Jiotepec, Edo. Mex.",$64.00,0.7
Queso Oaxaca (500 gr),Pieza,$75.00,8,Lácteos,QUESOS CUENCA (@quesoscuenca),"Jiotepec, Edo. Mex.",$107.00,0.7
Queso Panela (500 gr),Pieza,$70.00,10,Lácteos,QUESOS CUENCA (@quesoscuenca),"Jiotepec, Edo. Mex.",$100.00,0.7
Queso Provolone Cilindro (400 gr),Pieza,$110.00,5,Lácteos,QUESOS CUENCA (@quesoscuenca),"Jiotepec, Edo. Mex.",$157.00,0.7
Pollo Libre Pastoreo ( Aprox. 2K),Pieza,$287.50,10,Proteína,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$359.00,0.8
"Rindswurst (carne de res condimentada, con ajo y paprika, ligeramente picante) 4 salchichas, 800gr",Pieza,$140.00,15,Proteínas,CELESTIAL (@salchichascelestial),CDMX,$200.00,0.7
"Salchichas Bratwurst (carne de cerdo con diez condimentos) 4 salchichas, 800gr",Pieza,$110.00,15,Proteínas,CELESTIAL (@salchichascelestial),CDMX,$157.00,0.7
"Salchichas Schubling (carne de cerdo condimento leve, blanda y esponjosa) 4 salchichas, 800gr",Pieza,$110.00,15,Proteínas,CELESTIAL (@salchichascelestial),CDMX,$157.00,0.7
Sopes hechos a mano,Docena,$23.00,10,Tortillería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$33.00,0.7
Tortillas hechas a mano,Docena,$17.25,10,Tortillería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$25.00,0.7
"Tortilla Mixta: amarilla, azul (1/2k empacadas al vacio)",Pieza,$18.00,40,Tortillería,MAIZAJO (@maizajo),CDMX,$26.00,0.7
Tostadas Comaleadas: cualquier color (15 piezas),Pieza,$25.00,20,Tortillería,MAIZAJO (@maizajo),CDMX,$36.00,0.7
Totopos: cualquier color (1/4k),Pieza,$25.00,20,Tortillería,MAIZAJO (@maizajo),CDMX,$36.00,0.7
"Baguette (200gr): agua, sal, harina de trigo, masa madre",Pieza,$20.00,30,Panadería,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$29.00,0.7
"Hogaza (pan de campo 450gr): agua, harina de trigo, sal, masa madre",Pieza,$35.00,50,Panadería,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$50.00,0.7
"Pan de caja blanco (750gr): leche, huevo, mantequilla, harina de trigo, azúcar, sal, levadura",Pieza,$65.00,20,Panadería,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$93.00,0.7
"Pan de caja de centeno (750gr): centeno, leche, azucar, sal, levadura, pasas, nueces, almendras",Pieza,$105.00,20,Panadería,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$150.00,0.7
"Pan de caja integral (750gr): leche, huevo, mantequilla, harina de trigo, azúcar, sal, levadura",Pieza,$65.00,20,Panadería,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$93.00,0.7
Pan de masa madre con granos de café y chocolate (250gr),Pieza,$60.00,20,Panadería,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$86.00,0.7
"Pasta Fresca Fettuccini (500gr): agua, semolina, harina de trigo, huevo, aceite, sal, levadura",Pieza,$50.00,20,Panadería,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$71.00,0.7
"Masa para quiches y tartas (masa quebrada) - 400gr (harina, sal, mantequilla de rancho)",Pieza,$55.00,20,Pastelería y Postres,Alix,CDMX,$79.00,0.7
Pan de canela (caja masa madre 600gr),Pieza,$69.00,5,Panadería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$99.00,0.7
Pan relleno de higo (caja masa madre 600gr),Pieza,$69.00,5,Panadería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$99.00,0.7
Pan relleno de zarza (caja masa madre 600 gr),Pieza,$69.00,5,Panadería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$99.00,0.7
Barras de Cereales VEGANAS con arándanos - 5 piezas - 160gr,Pieza,$120.00,2,Pastelería y Postres,Clothilde,CDMX,$171.00,0.7
Barras de Cereales VEGANAS con chabacano y pistache - 5 piezas - 160gr,Pieza,$130.00,3,Pastelería y Postres,Clothilde,CDMX,$186.00,0.7
"Madeleines de sabores: pistache, almendra, guayaba, limon, chocolate, natural - 6 piezas - 120gr",Pieza,$130.00,10,Pastelería y Postres,Clothilde,CDMX,$186.00,0.7
Madeleines naturales y de chocolate - 6 piezas - 120gr,Pieza,$97.00,10,Pastelería y Postres,Clothilde,CDMX,$139.00,0.7
Mermelada de Ciruela (235 ml),Pieza,$70.00,20,Conservas,EL JARDIN DEL AXOLOTE,CDMX,$100.00,0.7
Dulce de leche (235 ml),Pieza,$80.00,10,Conservas,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$114.00,0.7
Mermelada de Cebolla (235 ml),Pieza,$65.00,10,Conservas,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$93.00,0.7
Mermelada de Fresa (235 ml),Pieza,$70.00,10,Conservas,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$100.00,0.7
Mermelada de Manzana (235 ml),Pieza,$80.00,10,Conservas,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$114.00,0.7
Mermelada de Naranja (235 ml),Pieza,$45.00,10,Conservas,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$64.00,0.7
Miel de Maguey (500 ml): aguamiel raspada y concentrada mediante ligero hervor,Pieza,$85.00,20,Conservas,AGROELITE (FB: @AgroeliteMexico),Morelos,$121.00,0.7
"Chimichurri Especiado: perejil, aceite multigrano, ajo, sal marina, vinagre y especias (235gr)",Pieza,$90.00,30,Conservas,LA CUMBRE (FB: La Cumbre Conservas),CDMX,$129.00,0.7
"Pesto de Albahaca: albahaca, nuez pecana, almendras, aceite de oliva, ajo y sal marina (235gr)",Pieza,$90.00,30,Conservas,LA CUMBRE (FB: La Cumbre Conservas),CDMX,$129.00,0.7
Miel de Abeja (500 ml): multifloral de las zonas altas de la alcaldía Alvaro Obregon,Pieza,$90.00,16,Conservas,ORIGEN DANNAY (FB: Origen Dannay),CDMX,$129.00,0.7
Aceite de Oliva Extra Virgen (500ml),Pieza,$190.00,10,Conservas,ESTACION PORVENIR (@estacionporvenir),"Valle de Guadalupe, Baja California",$253.00,0.75
"Vino Rosado (Tempranillo , Mourvedre, Cinsault, Zinfandel)",Botella 750ml,$235.00,10,Bebidas,ESTACION PORVENIR (@estacionporvenir),"Valle de Guadalupe, Baja California",$313.00,0.75
"Vino Titnto ( Zinfandel, Barbera, Petite Sirah, Cabernet Sauvignon)",Botella 750ml,$265.00,10,Bebidas,ESTACION PORVENIR (@estacionporvenir),"Valle de Guadalupe, Baja California",$353.00,0.75
Soda Probiótica Cáscara de Café: contiene 10 microorganismos benéficos; no es dulce; 20 calorías.,Botella 355 ml,$30.00,24,Bebidas,CHINAMPA(@chinampa.mx) ,CDMX,$40.00,0.75
Soda Probiótica Jengibre: contiene 10 microorganismos benéficos; no es dulce; 20 calorías.,Botella 355 ml,$30.00,24,Bebidas,CHINAMPA(@chinampa.mx) ,CDMX,$40.00,0.75
Soda Probiótica Te-Verde: contiene 10 microorganismos benéficos; no es dulce; 20 calorías.,Botella 355 ml,$30.00,24,Bebidas,CHINAMPA(@chinampa.mx) ,CDMX,$40.00,0.75
Tintura madre de Ajo Negro: inmune; para cocincar; salsas y vinagretas,Botella 30 ml,$125.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$167.00,0.75
"Tintura madre de Cardamomo: energizante, ánimo",Botella 30 ml,$100.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$133.00,0.75
"Tintura madre de Cedrón: insomnio, ansiedad, digestion",Botella 30 ml,$100.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$133.00,0.75
Tintura madre de Cuachalalate: cicatrizante (uso topico tipo mertiolate); gastritis (uso interno),Botella 30 ml,$100.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$133.00,0.75
"Tintura madre de Curcuma: para cocincar, salsas y vinagretas; antioxidante, sistema inmune",Botella 30 ml,$100.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$133.00,0.75
"Tintura madre de Equinacea y Jengibre: antiviral, sitema inmune, digestivo, anti-inflamatorio",Botella 30 ml,$100.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$133.00,0.75
"Tintura madre de Hoja de Higo: para cocincar; salsas y vinagretas; baja trigliceridos, acelera metabolismo",Botella 30 ml,$100.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$133.00,0.75
"Tintura madre de Hoja Santa: para cocincar; salsas y vinagretas; digestion, cólicos;",Botella 30 ml,$100.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$133.00,0.75
"Tintura madre de Jengibre Fresco: para cocincar; salsas y vinagretas; antiviral, inmune, digestivo, nauseas;",Botella 30 ml,$100.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$133.00,0.75
"Tintura madre de Te-Limón: nutritiva, energizante, anti-inflamatoria",Botella 30 ml,$100.00,20,Bebidas,CREATURAS BOTANICAS (@creaturasbotanicas),CDMX,$133.00,0.75
"Cerveza Blanca de Maguey-IPA Blanca-7% Alc. Vol.-con maguey, cascara de naranja y semilla de cilantro",Botella 355 ml,$40.00,48,Bebidas,MONSTRUO DE AGUA (@monstruo.de.agua) ,CDMX,$53.00,0.75
Cerveza Lager con Café-6.5%Alc. Vol.,Botella 355 ml,$48.00,24,Bebidas,MONSTRUO DE AGUA (@monstruo.de.agua) ,CDMX,$64.00,0.75
Cerveza Lager con Hoja de Pino-5.5%Alc. Vol.,Botella 355 ml,$48.00,24,Bebidas,MONSTRUO DE AGUA (@monstruo.de.agua) ,CDMX,$64.00,0.75
"Cerveza Sugoi-Ale Clara-5%Alc. Vol.-con maguey, jengibre, té limón",Botella 355 ml,$40.00,48,Bebidas,MONSTRUO DE AGUA (@monstruo.de.agua) ,CDMX,$53.00,0.75
"Té Manzanilla-Lavanda: flores de manzanilla y lavanda (bolsa 30 gr, 15-18 tazas)",Pieza,$87.50,6,Bebidas,OHA (@oha.mx),CDMX,$125.00,0.7
"Té Masala Chai: té negro, jengibre, canela, clavo, cardamomo y cacao (bolsa de 50 gr, 20-25 tazas)",Pieza,$112.00,6,Bebidas,OHA (@oha.mx),CDMX,$160.00,0.7
"Té Verde-Limón: té verde (sencha), zacate limón y hierbabuena (bolsa de 50 gr, 20-25 tazas)",Pieza,$112.00,6,Bebidas,OHA (@oha.mx),CDMX,$160.00,0.7
Café en grano: Dark Side of the Fruit (250g),Pieza,$135.00,25,Bebidas,CUCURUCHO @cucuruchocafe,CDMX,$193.00,0.7
Café en grano: Oaxaca (250g),Pieza,$100.00,25,Bebidas,CUCURUCHO @cucuruchocafe,CDMX,$143.00,0.7
Café en grano: Veracruz (250g),Pieza,$135.00,25,Bebidas,CUCURUCHO @cucuruchocafe,CDMX,$193.00,0.7
Café molido: Mezcla de la Casa (250g),Pieza,$110.00,25,Bebidas,CUCURUCHO @cucuruchocafe,CDMX,$157.00,0.7
"Tapa Boca - 2 capas de tela de 100% algodón, reutilizable",Pieza,$80.00,15,Salud,Celia,CDMX,$114.00,0.7
Canasta Pendiente (donación de una depensa para familias en comunidades marginadas),Pieza,$154.00,15,Apoyo solidario,Proyecto Canasta Pendiente,CDMX,$200.00,0.77
